genre,count
corridos classicos,4
banda carnavalera,3
shatta,1
francoton,2
reunion pop,1
zouk riddim,1
christian dance,3
indie pop rock,1
british post-rock,3
belly dance,2
canadian garage rock,1
k-rock,1
korean dream pop,1
tagalog worship,4
hyperpop francais,2
fotbollslatar,1
barnmusik,3
dansband,3
danspunk,3
gotlandsk musik,2
nordic folk,2
future ambient,2
utah indie,4
german indie,9
german indie folk,3
kent indie,9
connecticut indie,5
bass music,11
nz electronic,3
boston electronic,1
drill and bass,2
symfonicky orchestr,6
italian opera,1
italian romanticism,1
jewish hip hop,37
bay area hip hop,2
progressive trance house,5
funky tech house,4
swiss pop,4
icelandic electronic,1
jump blues,4
wyoming roots,1
deep contemporary country,1
trap argentino,3
trap boricua,3
rap canario,1
r&b en espanol,1
spanish hip hop,7
rap underground espanol,3
chinderlieder,1
